x,0.4682,0.4681,0.4683,0.473,0.4732,0.4736,0.4737,0.4735,0.4735,0.4735,0.4735,0.4733,0.4734,0.4734,0.4734,0.4731,0.4732,0.4731
y,0.4121,0.4122,0.4124,0.4147,0.4148,0.4151,0.4154,0.4153,0.4152,0.4154,0.4154,0.4153,0.4156,0.4155,0.4155,0.4153,0.4153,0.4154
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
695,7.05029E-05,6.96533E-05,7.01224E-05,2.29932E-04,2.26888E-04,2.23917E-04,3.86777E-04,3.83326E-04,3.82115E-04,5.37805E-04,5.37779E-04,5.36329E-04,6.92768E-04,6.88777E-04,6.92640E-04,8.34914E-04,8.41135E-04,8.40593E-04
696,6.82664E-05,6.79765E-05,6.82212E-05,2.23602E-04,2.18647E-04,2.19452E-04,3.74316E-04,3.74784E-04,3.72136E-04,5.25435E-04,5.22860E-04,5.21957E-04,6.73593E-04,6.68768E-04,6.71646E-04,8.17330E-04,8.18728E-04,8.18358E-04
697,6.64430E-05,6.64721E-05,6.63604E-05,2.17220E-04,2.13873E-04,2.14359E-04,3.63061E-04,3.64977E-04,3.62532E-04,5.11602E-04,5.09919E-04,5.10098E-04,6.54672E-04,6.51087E-04,6.50194E-04,7.97173E-04,7.95941E-04,7.95610E-04
698,6.50762E-05,6.48152E-05,6.45937E-05,2.10673E-04,2.10872E-04,2.08394E-04,3.53211E-04,3.54502E-04,3.53024E-04,4.96837E-04,4.97838E-04,4.99210E-04,6.37137E-04,6.35517E-04,6.30637E-04,7.74286E-04,7.73536E-04,7.72972E-04
699,6.40491E-05,6.31017E-05,6.30849E-05,2.03431E-04,2.05140E-04,2.03052E-04,3.43903E-04,3.46580E-04,3.43478E-04,4.84158E-04,4.86012E-04,4.86819E-04,6.22791E-04,6.21523E-04,6.17213E-04,7.54910E-04,7.53987E-04,7.54063E-04
700,6.29057E-05,6.16706E-05,6.16711E-05,1.97091E-04,1.97744E-04,1.98305E-04,3.35068E-04,3.39160E-04,3.35163E-04,4.72483E-04,4.73928E-04,4.73347E-04,6.09612E-04,6.06775E-04,6.05930E-04,7.36180E-04,7.36957E-04,7.37288E-04
701,6.10811E-05,6.08156E-05,6.00481E-05,1.93546E-04,1.92101E-04,1.93338E-04,3.26806E-04,3.28257E-04,3.29302E-04,4.59021E-04,4.61156E-04,4.60408E-04,5.94039E-04,5.88755E-04,5.89654E-04,7.11948E-04,7.20318E-04,7.18776E-04
702,5.86493E-05,5.98374E-05,5.82759E-05,1.89513E-04,1.87929E-04,1.88013E-04,3.18266E-04,3.16549E-04,3.22633E-04,4.45197E-04,4.48639E-04,4.48362E-04,5.77239E-04,5.71467E-04,5.70962E-04,6.88245E-04,7.01747E-04,6.99780E-04
703,5.59522E-05,5.77966E-05,5.64530E-05,1.80979E-04,1.83431E-04,1.82241E-04,3.08150E-04,3.07816E-04,3.11023E-04,4.32914E-04,4.36774E-04,4.36315E-04,5.60566E-04,5.58812E-04,5.54418E-04,6.72253E-04,6.78794E-04,6.81714E-04
704,5.39672E-05,5.51970E-05,5.47304E-05,1.72801E-04,1.78764E-04,1.76712E-04,2.98170E-04,3.01022E-04,2.98440E-04,4.22449E-04,4.25117E-04,4.24348E-04,5.42615E-04,5.46813E-04,5.40558E-04,6.59190E-04,6.55984E-04,6.63597E-04
705,5.33214E-05,5.28976E-05,5.31858E-05,1.70094E-04,1.74470E-04,1.72003E-04,2.90318E-04,2.93946E-04,2.89723E-04,4.13269E-04,4.13224E-04,4.12636E-04,5.22895E-04,5.30762E-04,5.28464E-04,6.42831E-04,6.38001E-04,6.44147E-04
706,5.25927E-05,5.13901E-05,5.15547E-05,1.68635E-04,1.70219E-04,1.67341E-04,2.84069E-04,2.85457E-04,2.83496E-04,4.03606E-04,4.01543E-04,4.00489E-04,5.07315E-04,5.12228E-04,5.16355E-04,6.25254E-04,6.21883E-04,6.23575E-04
707,5.07818E-05,5.07947E-05,4.97054E-05,1.64449E-04,1.65473E-04,1.62432E-04,2.78379E-04,2.75904E-04,2.77452E-04,3.92370E-04,3.90772E-04,3.87946E-04,4.99298E-04,4.94949E-04,5.03122E-04,6.09043E-04,6.04947E-04,6.02932E-04
708,4.93111E-05,5.03965E-05,4.80460E-05,1.60058E-04,1.59539E-04,1.59012E-04,2.72152E-04,2.68737E-04,2.70465E-04,3.80784E-04,3.81386E-04,3.77244E-04,4.90949E-04,4.84099E-04,4.89663E-04,5.92398E-04,5.89600E-04,5.84074E-04
709,4.88550E-05,4.94624E-05,4.68910E-05,1.57040E-04,1.52723E-04,1.56965E-04,2.64853E-04,2.64789E-04,2.62243E-04,3.69447E-04,3.72473E-04,3.68752E-04,4.76343E-04,4.78934E-04,4.76261E-04,5.74465E-04,5.76061E-04,5.67886E-04
710,4.78948E-05,4.76847E-05,4.63069E-05,1.53333E-04,1.47824E-04,1.52283E-04,2.57916E-04,2.59355E-04,2.54594E-04,3.58037E-04,3.61595E-04,3.59465E-04,4.59042E-04,4.67859E-04,4.62732E-04,5.59530E-04,5.60211E-04,5.54695E-04
