x,0.4688,0.4687,0.4687,0.4738,0.4738,0.4737,0.4741,0.4742,0.474,0.474,0.4741,0.4741,0.474,0.474,0.474,0.4737,0.4738,0.4738,0.4737,0.4736,0.4735,0.4732,0.4733,0.4733,0.4731,0.4731,0.4731
y,0.4202,0.4202,0.4202,0.4228,0.4229,0.4228,0.4231,0.4233,0.4231,0.4232,0.4232,0.4233,0.4232,0.4233,0.4233,0.4232,0.4232,0.4232,0.4232,0.4231,0.4231,0.423,0.4229,0.423,0.4229,0.4229,0.4229
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
560,9.18120E-04,9.18168E-04,9.21807E-04,2.88852E-03,2.89953E-03,2.89378E-03,4.88539E-03,4.89623E-03,4.89382E-03,6.87285E-03,6.83978E-03,6.87355E-03,8.79208E-03,8.80153E-03,8.77048E-03,1.06918E-02,1.06869E-02,1.06959E-02,1.25998E-02,1.25857E-02,1.25442E-02,1.44307E-02,1.44259E-02,1.43916E-02,1.62426E-02,1.62376E-02,1.62655E-02
561,9.28346E-04,9.29996E-04,9.31717E-04,2.92202E-03,2.93264E-03,2.92629E-03,4.94765E-03,4.94038E-03,4.94927E-03,6.93815E-03,6.93190E-03,6.94584E-03,8.89768E-03,8.91959E-03,8.88071E-03,1.08120E-02,1.08124E-02,1.08395E-02,1.27198E-02,1.27134E-02,1.27170E-02,1.45858E-02,1.45823E-02,1.45640E-02,1.64339E-02,1.64258E-02,1.64477E-02
562,9.39287E-04,9.41738E-04,9.41382E-04,2.95996E-03,2.96727E-03,2.96187E-03,5.01409E-03,4.99527E-03,5.00587E-03,7.01169E-03,7.02899E-03,7.02447E-03,9.01202E-03,9.02956E-03,9.00370E-03,1.09438E-02,1.09575E-02,1.09858E-02,1.28559E-02,1.28617E-02,1.28892E-02,1.47609E-02,1.47494E-02,1.47425E-02,1.66405E-02,1.66187E-02,1.66463E-02
563,9.50337E-04,9.52039E-04,9.51121E-04,3.00046E-03,3.00341E-03,2.99991E-03,5.07829E-03,5.06605E-03,5.06420E-03,7.09879E-03,7.12046E-03,7.10809E-03,9.12421E-03,9.12094E-03,9.12282E-03,1.10813E-02,1.11169E-02,1.11137E-02,1.30178E-02,1.30335E-02,1.30402E-02,1.49532E-02,1.49297E-02,1.49125E-02,1.68420E-02,1.68079E-02,1.68513E-02
564,9.62464E-04,9.62799E-04,9.62206E-04,3.04198E-03,3.04014E-03,3.03764E-03,5.14005E-03,5.13843E-03,5.12884E-03,7.19357E-03,7.21395E-03,7.19960E-03,9.23967E-03,9.22340E-03,9.23550E-03,1.12310E-02,1.12743E-02,1.12444E-02,1.32019E-02,1.32092E-02,1.31964E-02,1.51477E-02,1.51298E-02,1.50957E-02,1.70475E-02,1.70184E-02,1.70690E-02
565,9.74787E-04,9.74070E-04,9.73942E-04,3.07880E-03,3.07280E-03,3.06960E-03,5.19323E-03,5.19475E-03,5.19430E-03,7.27978E-03,7.30456E-03,7.28908E-03,9.34964E-03,9.34358E-03,9.33079E-03,1.13796E-02,1.14010E-02,1.13781E-02,1.33798E-02,1.33548E-02,1.33578E-02,1.53129E-02,1.53274E-02,1.52855E-02,1.72410E-02,1.72405E-02,1.72782E-02
566,9.86796E-04,9.85687E-04,9.85921E-04,3.11327E-03,3.10687E-03,3.10411E-03,5.24693E-03,5.25010E-03,5.25828E-03,7.36359E-03,7.39172E-03,7.37552E-03,9.45971E-03,9.46599E-03,9.43127E-03,1.15255E-02,1.15129E-02,1.15104E-02,1.35441E-02,1.34922E-02,1.35169E-02,1.54776E-02,1.55154E-02,1.54792E-02,1.74379E-02,1.74627E-02,1.74859E-02
567,1.00004E-03,9.99304E-04,9.99737E-04,3.15460E-03,3.15349E-03,3.15484E-03,5.32064E-03,5.33070E-03,5.32982E-03,7.46774E-03,7.49037E-03,7.47469E-03,9.59414E-03,9.59407E-03,9.57646E-03,1.16908E-02,1.16534E-02,1.16605E-02,1.37198E-02,1.36736E-02,1.36939E-02,1.57030E-02,1.57221E-02,1.57052E-02,1.76868E-02,1.77087E-02,1.77344E-02
568,1.01229E-03,1.01224E-03,1.01308E-03,3.19542E-03,3.19922E-03,3.20583E-03,5.39862E-03,5.41382E-03,5.39915E-03,7.57423E-03,7.58658E-03,7.57576E-03,9.72578E-03,9.71678E-03,9.72749E-03,1.18469E-02,1.18027E-02,1.18116E-02,1.38882E-02,1.38605E-02,1.38696E-02,1.59383E-02,1.59247E-02,1.59293E-02,1.79319E-02,1.79383E-02,1.79738E-02
569,1.02469E-03,1.02508E-03,1.02689E-03,3.23764E-03,3.23857E-03,3.24781E-03,5.47830E-03,5.48777E-03,5.47389E-03,7.68565E-03,7.69025E-03,7.69126E-03,9.85539E-03,9.85828E-03,9.86726E-03,1.20023E-02,1.19717E-02,1.19847E-02,1.40760E-02,1.40497E-02,1.40707E-02,1.61710E-02,1.61511E-02,1.61658E-02,1.81677E-02,1.81708E-02,1.82070E-02
